n,prueba,esperado,obtenido,ok
97,"sin forma de pago: a cuenta solo con términos de crédito; con los 4 de una tarjeta, a ella","contado=pendiente/metodo_pago dice_por_que=t net30=2010 tarjeta=2100-9998/recibos.ultimos4 terminos=t,t,f,f,f,f","contado=pendiente/metodo_pago dice_por_que=t net30=2010 tarjeta=2100-9998/recibos.ultimos4 terminos=t,t,f,f,f,f",true
98,un cheque rebotado se devuelve en su fecha: el depósito se queda en la suya,deposito=2026-10-21/8000.00 reversos=0 devolucion=2026-10-26/-8000.00 factura=8000.00/5415-roberto-9ojv cobrado=0.00 anular=MX008 otra_vez=MX008,deposito=2026-10-21/8000.00 reversos=0 devolucion=2026-10-26/-8000.00 factura=8000.00/5415-roberto-9ojv cobrado=0.00 anular=MX008 otra_vez=MX008,true
99,un mes no se cierra con devengo y journal juntos; el cerrado así sigue en rojo,cerrar=MX008/dice_como deshacer=reversado cerrar_despues=cerrado cerrado_con_los_dos=f/en_el_cerrado corregido=t,cerrar=MX008/dice_como deshacer=reversado cerrar_despues=cerrado cerrado_con_los_dos=f/en_el_cerrado corregido=t,true
100,mano de obra: un ajuste_cpa del mismo ejercicio no la exime,ajuste_mismo_ejercicio=f/nombrado reclasificacion=t,ajuste_mismo_ejercicio=f/nombrado reclasificacion=t,true
101,retención cobrada con la factura: el mensaje la nombra y el anticipo se le aplica,todo_junto=MX008/es_su_retencion sin_marca=MX008/aplicalo_a_ella con_marca=entró 1110=0.00 1120=0.00 anticipo=0.00,todo_junto=MX008/es_su_retencion sin_marca=MX008/aplicalo_a_ella con_marca=entró 1110=0.00 1120=0.00 anticipo=0.00,true
102,facturas_cobro: un cobro parcial no «cuadra»,app=0.00 libro=3000.00 saldo=5000.00 aviso=cobrado_distinto/parcial,app=0.00 libro=3000.00 saldo=5000.00 aviso=cobrado_distinto/parcial,true
103,"una factura, una partida, una obra: la apertura sin obra no entra",sin_obra=MX006/dice_la_obra con_obra=entró cobro=entró abiertas=0 por_obra=0.00/0.00,sin_obra=MX006/dice_la_obra con_obra=entró cobro=entró abiertas=0 por_obra=0.00/0.00,true
104,una tarjeta o el efectivo no pagan desde un pasivo de nómina ni un préstamo,tarjeta_2220=MX004 efectivo_2230=MX004 prestamo=MX004 tarjeta_2900=entró efectivo_banco=entró reglas=t,tarjeta_2220=MX004 efectivo_2230=MX004 prestamo=MX004 tarjeta_2900=entró efectivo_banco=entró reglas=t,true
105,el asiento de un puente no se reversa a mano: MX007 con el camino bueno,"recibo=MX007/anular factura=MX007/nota cobro=MX007/anular_o_devolver sustituir=MX007 backfill=1/0,1/0,1/0","recibo=MX007/anular factura=MX007/nota cobro=MX007/anular_o_devolver sustituir=MX007 backfill=1/0,1/0,1/0",true
106,el puente de un recibo toma los candados de su foto y su ticket antes de mirar,ticket=t foto=t pruebas: cajones=512 cadena=MXT10 periodos=MXT10,ticket=t foto=t pruebas: cajones=512 cadena=MXT10 periodos=MXT10,true
107,total 0 de la lectura: espera con la pregunta; el 0 de Edgar anula,lectura=pendiente/total_cero pregunta=t cerebro=pendiente/total_cero edgar=no_aplica/total_cero asientos=2/1,lectura=pendiente/total_cero pregunta=t cerebro=pendiente/total_cero edgar=no_aplica/total_cero asientos=2/1,true
108,el backfill no vuelve a planear lo que no cambió; duplicados por índice,sin_cambios=todos_los_quietos indices=t/t,sin_cambios=todos_los_quietos indices=t/t,true
109,recibos_ruta_unica deja fuera a los anulados,indice=unico/sin_anulados/por_obra foto_de_anulado=MX003,indice=unico/sin_anulados/por_obra foto_de_anulado=MX003,true
110,el SQL de la bandeja se pega tal cual con un apóstrofo (Lowe's),proveedor=pendiente/proveedor su_sql=corre categoria=pendiente/categoria su_sql=corre recibo=contabilizado,proveedor=pendiente/proveedor su_sql=corre categoria=pendiente/categoria su_sql=corre recibo=contabilizado,true
111,horas con medida; se aprueba lo que se vio,cuatro_mil=22023 negativa=22023 mas_de_24=22023 sin_visto=22023 visto_viejo=MX008/0 aprobadas=t fuera_de_medida=la_base_no_la_deja,cuatro_mil=22023 negativa=22023 mas_de_24=22023 sin_visto=22023 visto_viejo=MX008/0 aprobadas=t fuera_de_medida=la_base_no_la_deja,true
112,un ticket repartido entre obras entra en cada una; el duplicado no,reparto=contabilizado:50.00 original=contabilizado:245.37 misma_obra=MX003 mismo_total=pendiente/duplicado equipo=42501/foto control=t indice=t,reparto=contabilizado:50.00 original=contabilizado:245.37 misma_obra=MX003 mismo_total=pendiente/duplicado equipo=42501/foto control=t indice=t,true
113,las policies de c3 se evalúan una vez por consulta (select es_dueno()) y dicen lo mismo,forma=15/15 equipo=0 dueno=1,forma=15/15 equipo=0 dueno=1,true
114,"reintentar puente no vuelve a planear facturas, cobros ni externos sin cambios","sin_cambios=facturas:+1,cobros:+1,trabajos_externos:+1 pasados=+0 con_error=pasa:contabilizado recibo_doc=sin_set documentos=t","sin_cambios=facturas:+1,cobros:+1,trabajos_externos:+1 pasados=+0 con_error=pasa:contabilizado recibo_doc=sin_set documentos=t",true
115,"el cobro de una factura de antes del corte, con la apertura ya en el libro",sin_apertura=MX008:cuando_este_cargada con_apertura=MX008:su_asiento:undeposited:corregir_apertura,sin_apertura=MX008:cuando_este_cargada con_apertura=MX008:su_asiento:undeposited:corregir_apertura,true
116,un depósito de verdad parecido no pone en rojo los cobros de prueba,real=entró prueba=entró sin_confirmar=MX008,real=entró prueba=entró sin_confirmar=MX008,true
117,una factura con más por cobrar que su monto que solo trae la apertura no «está dos veces»,cobro=MX008:la_trae_la_apertura partidas=la_trae_la_apertura casilla=la_trae_la_apertura,cobro=MX008:la_trae_la_apertura partidas=la_trae_la_apertura casilla=la_trae_la_apertura,true
118,no deja rastro: todo como al empezar,asientos=0 lineas=0 contadores=0 cerrados=0 puente=5:5 cobros=0 aplic=0 notas=0 reglas=27/40/3/3/11 prov=0 alias=0 hist=31 horas_apr=0 aprobadas=0 recibos=49 facturas=55 externos=8 horas=71 cuentas=88 cont_en=0 revisados=0/0 sec=[externos_equipo=2 facturas=63 horas=78 materiales=55 recibos=49 trabajos_externos=9] huellas=3c2e50a17e2d,asientos=0 lineas=0 contadores=0 cerrados=0 puente=5:5 cobros=0 aplic=0 notas=0 reglas=27/40/3/3/11 prov=0 alias=0 hist=31 horas_apr=0 aprobadas=0 recibos=49 facturas=55 externos=8 horas=71 cuentas=88 cont_en=0 revisados=0/0 sec=[externos_equipo=2 facturas=63 horas=78 materiales=55 recibos=49 trabajos_externos=9] huellas=3c2e50a17e2d,true
